Year,Month,Temp
1960,1,33.17
1960,2,35.09
1960,3,34.79
1960,4,32.31
1960,5,31.8
1960,6,28.69
1960,7,27.52
1960,8,26.64
1960,9,26.23
1960,10,28.18
1960,11,29.55
1960,12,31.24
1961,1,32.51
1961,2,33.41
1961,3,34.85
1961,4,31.24
1961,5,31.71
1961,6,28.95
1961,7,26.54
1961,8,27.53
1961,9,27.53
1961,10,30.07
1961,11,32.53
1961,12,32.71
1962,1,33.04
1962,2,34.75
1962,3,34.95
1962,4,31.37
1962,5,30.82
1962,6,27.85
1962,7,26.55
1962,8,25.34
1962,9,26.23
1962,10,27.74
1962,11,28.49
1962,12,31.34
1963,1,32.93
1963,2,34.66
1963,3,33.49
1963,4,32.67
1963,5,30.37
1963,6,29.99
1963,7,27.19
1963,8,26.63
1963,9,27
1963,10,27.06
1963,11,29.71
1963,12,31.82
1964,1,33.11
1964,2,34.59
1964,3,34.49
1964,4,34.24
1964,5,30.84
1964,6,29.33
1964,7,27.99
1964,8,27.04
1964,9,26.11
1964,10,28.38
1964,11,31.36
1964,12,30.68
1965,1,31.77
1965,2,33.57
1965,3,35.03
1965,4,32.97
1965,5,30.01
1965,6,28.21
1965,7,26.74
1965,8,26.1
1965,9,27.05
1965,10,28.02
1965,11,30.95
1965,12,31.32
1966,1,32.75
1966,2,34.27
1966,3,34.8
1966,4,31.91
1966,5,30.73
1966,6,29.09
1966,7,27.95
nan,8,27.25
1966,9,27.14
1966,10,28.21
1966,11,31.33
1966,12,32.81
1967,1,32.06
1967,2,34.34
1967,3,33.2
1967,4,31.59
1967,5,30.35
1967,6,28.78
1967,7,26.75
1967,8,24.65
1967,9,25.31
1967,10,nan
1967,11,nan
1967,12,31.16
1968,1,32.45
1968,2,33.89
1968,3,32.58
1968,4,30.31
1968,5,29.48
1968,6,27.06
1968,7,25.88
1968,8,26.45
1968,9,26.25
1968,10,28.03
1968,11,29.24
1968,12,30.6
1969,1,32.5
1969,2,34.65
1969,3,34.3
1969,4,30.69
1969,5,30.95
1969,6,29
1969,7,25.79
1969,8,24.95
1969,9,26.31
1969,10,26.64
1969,11,29.11
1969,12,31.49
1970,1,32.33
1970,2,34.4
1970,3,33.97
1970,4,32.21
1970,5,29.21
1970,6,29.7
1970,7,27.01
1970,8,25.65
1970,9,25.53
1970,10,28.7
1970,11,31.17
1970,12,32.33
1971,1,32.52
1971,2,33.13
1971,3,31.52
1971,4,30.82
1971,5,29.6
1971,6,28.54
1971,7,25.95
1971,8,24.96
1971,9,25.66
1971,10,27.79
1971,11,30.38
1971,12,28.57
1972,1,32.21
1972,2,33.88
1972,3,32.8
1972,4,30.05
1972,5,28.89
1972,6,27.25
1972,7,27.16
1972,8,26.26
1972,9,26.81
1972,10,28.45
1972,11,31.55
1972,12,32.19
1973,1,32.88
1973,2,34.65
1973,3,33.58
1973,4,32.42
1973,5,31.95
1973,6,28.76
1973,7,27.17
1973,8,25.83
1973,9,26.82
1973,10,28.55
1973,11,31.87
1973,12,32.25
1974,1,32.48
1974,2,34.4
1974,3,32.05
1974,nan,31.96
1974,5,31.38
1974,6,29.07
1974,7,27.32
1974,8,26.12
1974,9,26.16
1974,10,27.56
1974,11,29.98
1974,12,31.11
1975,1,31.89
1975,2,33.18
1975,3,33.42
1975,4,30.8
1975,5,29.76
1975,6,28.44
1975,7,25.87
1975,8,26.11
1975,9,25.69
1975,10,28.32
1975,11,31.46
1975,12,32.27
1976,1,32.27
1976,2,31.89
1976,3,33.58
1976,4,32.61
1976,5,29.69
1976,6,27
1976,7,26.45
1976,8,26.44
1976,9,26.94
1976,10,26.37
1976,11,28.66
1976,12,31.75
1977,1,32.53
1977,2,34.63
1977,3,35.89
1977,4,33.85
1977,5,31.57
1977,6,28.27
1977,7,26.9
1977,8,25.76
1977,9,26.09
1977,10,28.33
1977,11,32.17
1977,12,32.18
1978,1,33.82
1978,2,34.43
1978,3,32.65
1978,4,30.38
1978,5,30.37
1978,6,27.61
1978,7,26.4
1978,8,26.92
1978,9,27.06
1978,10,27.79
1978,11,31.36
1978,12,32.62
1979,1,34.47
1979,2,35.38
1979,3,33.84
1979,4,32.42
1979,5,29.23
1979,6,26.91
1979,7,25.82
1979,8,26.09
1979,9,26.9
1979,10,27.75
1979,11,29.09
1979,12,31.28
1980,1,32.22
1980,2,33.78
1980,3,34.42
1980,4,33.55
1980,5,30.13
1980,6,27.66
1980,7,25.68
1980,8,25.51
1980,9,26.71
1980,10,27.56
1980,11,29
1980,12,30
1981,1,32.33
1981,2,34.67
1981,3,33
1981,4,31.7
1981,5,30.01
1981,6,29.82
1981,7,25.36
1981,8,25.67
1981,9,26.82
1981,10,30.06
1981,11,33.42
1981,12,34.04
1982,1,33.32
1982,2,33.53
1982,3,32.73
1982,4,30.4
1982,5,29.96
1982,6,29.4
1982,7,26.99
1982,8,25.98
1982,9,27.15
1982,10,29.06
1982,11,31.65
1982,12,32.87
1983,1,32.36
1983,2,34.95
1983,3,36.93
1983,4,33.74
1983,5,31.61
1983,6,28.76
1983,7,27.74
1983,8,26.99
1983,9,27.4
1983,10,31.22
1983,11,33.12
1983,12,33.06
1984,1,34.3
1984,2,35.45
1984,3,33.23
1984,4,32.52
1984,5,30.86
1984,6,28.21
1984,7,27.15
1984,8,27.27
1984,9,26.72
1984,10,28.26
1984,11,29.99
1984,12,31.62
1985,1,33.62
1985,2,34.83
1985,3,34.39
1985,4,31.46
1985,5,30.05
1985,6,29.28
1985,7,26.07
1985,8,25.32
1985,9,26.18
1985,10,28.96
1985,11,30.48
1985,12,31.37
1986,1,32.42
1986,2,34.58
1986,3,33.88
1986,4,32.26
1986,5,30.27
1986,6,28.34
1986,7,26.76
1986,8,26.25
1986,9,26.41
1986,10,28.11
1986,11,29.64
1986,12,31.67
1987,1,33.67
1987,2,35.37
1987,3,34.86
1987,4,35.15
1987,5,32.54
1987,6,29.31
1987,7,28.5
1987,8,27.09
1987,9,27.09
1987,10,28.56
1987,11,31.91
1987,12,32.55
1988,1,33.31
1988,2,35.68
1988,3,32.79
1988,4,32.77
1988,5,31.45
1988,6,27.74
1988,7,25.55
1988,8,25.54
1988,9,26.11
1988,10,29.09
1988,11,31.3
1988,12,31.27
1989,1,32.81
1989,2,34.49
1989,3,33.41
1989,4,32.41
1989,5,31.38
1989,6,28.92
1989,7,26.13
1989,8,25.54
1989,9,26.85
1989,10,28.25
1989,11,32.09
1989,12,32.09
1990,1,32.26
1990,2,34.55
1990,3,36.79
1990,4,32.47
1990,5,31.42
1990,6,29.36
1990,7,26.92
1990,8,26.08
1990,9,27.01
1990,10,28.75
1990,11,30.34
1990,12,31.08
1991,1,33.1
1991,2,35.19
1991,3,33.49
1991,4,31.18
1991,5,29.19
1991,6,28.75
1991,7,26.35
1991,8,25.56
1991,9,27.16
1991,10,27.33
1991,11,30.65
1991,12,31.61
1992,1,31.94
1992,2,35.03
1992,3,34.65
1992,4,32.66
1992,5,30.51
1992,6,28.27
1992,7,26.21
1992,8,25.85
1992,9,26.65
1992,10,28.41
1992,11,29.71
1992,12,32.33
1993,1,31.99
1993,2,34.52
1993,3,33.52
1993,4,32.81
1993,5,31.2
1993,6,29.77
1993,7,27.04
1993,8,26.51
1993,9,26.66
1993,10,28.41
1993,11,29.92
1993,12,32.04
1994,1,32.81
1994,2,34.73
1994,3,34.85
1994,4,33.37
1994,5,30.81
1994,6,28.87
1994,7,26.74
1994,8,25.77
1994,9,26.04
1994,10,26.93
1994,11,30.23
1994,12,31.53
1995,1,32.14
1995,2,33.89
1995,3,33.57
1995,4,31.56
1995,5,30.69
1995,6,29.34
1995,7,26.63
1995,8,25.92
1995,9,26.8
1995,10,28.04
1995,11,30.22
1995,12,31.26
1996,1,33.18
1996,2,33.45
1996,3,33.83
1996,4,31.76
1996,5,31.42
1996,6,28.53
1996,7,27.63
1996,8,26
1996,9,26.45
1996,10,28.49
1996,11,31.57
1996,12,32.31
1997,1,33.41
1997,2,34.5
1997,3,34.79
1997,4,30.88
1997,5,29.85
1997,6,27.84
1997,7,26.85
1997,8,26.76
1997,9,27.23
1997,10,28.56
1997,11,30.16
1997,12,32.02
1998,1,33.38
1998,2,35.74
1998,3,36.7
1998,4,34.08
1998,5,32.04
1998,6,29.43
1998,7,27.14
1998,8,25.53
1998,9,26.37
1998,10,28.35
1998,11,31.5
1998,12,32.68
1999,1,33.52
1999,2,33.83
1999,3,34.68
1999,4,31.66
1999,5,31.41
1999,6,29.35
1999,7,26.8
1999,8,25.97
1999,9,26.36
1999,10,27.55
1999,11,30.85
1999,12,32.23
2000,1,31.96
2000,2,33.5
2000,3,36.07
2000,4,34.91
2000,5,31.96
2000,6,27.92
2000,7,26.98
2000,8,26.47
2000,9,26.35
2000,10,28.5
2000,11,31.91
2000,12,32.31
2001,1,32.76
2001,2,34.33
2001,3,35.36
2001,4,32.83
2001,5,31.22
2001,6,28.45
2001,7,26.78
2001,8,25.84
2001,9,26.46
2001,10,30.55
2001,11,32.36
2001,12,34.05
2002,1,33.48
2002,2,35.44
2002,3,35.91
2002,4,32.5
2002,5,33.03
2002,6,28.44
2002,7,27.77
2002,8,26.15
2002,9,27.16
2002,10,27.93
2002,11,30.61
2002,12,32.37
2003,1,33.48
2003,2,35.31
2003,3,36.37
2003,4,33
2003,5,32.07
2003,6,27.96
2003,7,27.14
2003,8,26.04
2003,9,26.73
2003,10,28.7
2003,11,30.12
2003,12,32.04
2004,1,32.78
2004,2,34.97
2004,3,33.75
2004,4,33.12
2004,5,31.28
2004,6,29.79
2004,7,26.56
2004,8,26.12
2004,9,27.58
2004,10,29.85
2004,11,31.47
2004,12,32.84
2005,1,32.49
2005,2,35.57
2005,3,34.54
2005,4,33.34
2005,5,30.76
2005,6,28.66
2005,7,27.06
2005,8,26.26
2005,9,27.46
2005,10,29.28
2005,11,32.08
2005,12,32.83
2006,1,33.82
2006,2,34.91
2006,3,35.5
2006,4,34.89
2006,5,31.33
2006,6,30.09
2006,7,28.27
2006,8,26.73
2006,9,26.89
2006,10,29.13
2006,11,32.45
2006,12,32.61
2007,1,33.16
2007,2,35.54
2007,3,36.9
2007,4,34.19
2007,5,31.19
2007,6,29.84
2007,7,27.79
2007,8,26.09
2007,9,26.7
2007,10,28.97
2007,11,31.4
2007,12,32.95
2008,1,32.15
2008,2,35.36
2008,3,35.12
2008,4,34.86
2008,5,32.61
2008,6,29.61
2008,7,26.72
2008,8,25.92
2008,9,27.31
2008,10,28.42
2008,11,31.77
2008,12,32.39
2009,1,32.56
2009,2,34.39
2009,3,33.73
2009,4,32.92
2009,5,31.82
2009,6,29.18
2009,7,26.99
2009,8,26.14
2009,9,27.55
2009,10,28.99
2009,11,31.22
2009,12,33.03
2010,1,33.35
2010,2,34.49
2010,3,34.79
2010,4,33.65
2010,5,31.54
2010,6,28.51
2010,7,27.3
2010,8,27.25
2010,9,26.49
2010,10,27.95
2010,11,30
2010,12,31.82
2011,1,32.35
2011,2,34.53
2011,3,35.86
2011,4,32.98
2011,5,31.14
2011,6,29.47
2011,7,27.11
2011,8,26.01
2011,9,27.13
2011,10,28.33
2011,11,31.73
2011,12,31.85
2012,1,32.49
2012,2,33.68
2012,3,34.5
2012,4,32.87
2012,5,30.09
2012,6,28.31
2012,7,26.57
2012,8,26.28
2012,9,26.6
2012,10,28.36
2012,11,31.25
2012,12,32.95
2013,1,33.72
2013,2,35.08
2013,3,33.63
2013,4,32.58
2013,5,31.39
2013,6,29.88
2013,7,26.96
2013,8,26.72
2013,9,27.1
2013,10,29.16
2013,11,30.93
2013,12,32.43
2014,1,32.7
2014,2,34.6
2014,3,34.62
2014,4,33.75
2014,5,30.71
2014,6,30.07
2014,7,28.32
2014,8,26.7
2014,9,26.61
2014,10,28.16
2014,11,29.79
2014,12,32.01
2015,1,32.15
2015,2,33.69
2015,3,34.46
2015,4,34.98
2015,5,32.57
2015,6,30
2015,7,28.44
2015,8,26.97
2015,9,27.79
2015,10,28.8
2015,11,31.86
2015,12,32.49
2016,1,33.45
2016,2,36.12
2016,3,34.66
2016,4,34.46
2016,5,31.72
2016,6,28.64
2016,7,27.17
2016,8,27.28
2016,9,27.23
2016,10,29.83
2016,11,32.69
2016,12,34.28
2017,1,34.21
2017,2,35.95
2017,3,36.84
2017,4,33.68
2017,5,31.55
2017,6,29.65
2017,7,27.02
2017,8,26.83
2017,9,27.28
2017,10,30.12
2017,11,32.58
2017,12,33.56
2018,1,33.35
2018,2,34.34
2018,3,33.42
2018,4,33.07
2018,5,30.77
2018,6,29.46
2018,7,26.86
2018,8,25.99
2018,9,26.7
2018,10,28.58
2018,11,31.28
2018,12,32.83
2019,1,33.47
2019,2,35.11
2019,3,35.21
2019,4,33.86
2019,5,32.17
2019,6,29.42
2019,7,27.35
2019,8,26.67
2019,9,27.45
2019,10,27.28
2019,11,30.55
2019,12,32.66
2020,1,33.09
2020,2,35.07
2020,3,34.52
2020,4,34.88
2020,5,33.17
2020,6,29.95
2020,7,26.98
2020,8,27.51
2020,9,26.88
2020,10,28.9
2020,11,32.66
2020,12,33.34
